restaurant_name,address,zip_code,restaurant_key
OSA IZAKAYA,9711 PLANO RD #C,75238,97
ZOE'S KITCHEN #0031,2009 ABRAMS RD,75214,98
ALDI FOOD STORE #50,2505 FORT WORTH AVE,75211,99
QUIKTRIP #923,8414 S HAMPTON RD,75232,100
LITTLE CAESARS PIZZA,655 W ILLINOIS AVE 1085,75224,101
C'EST BIEN THAI,3900 N LINCOLN AVE,60613,102
7-ELEVEN #32930B,6801 N WESTERN AVE,60645,103
LINCOLN PARK PRE-SCHOOL,312 W BELDEN AVE,60614,104
LUCKY STRIKE DOWNTOWN CHICAGO,322 E ILLINOIS ST,60611,105
HOMEWOOD SUITES KITCHEN STORE,1025 ELM ST #850,75202,106
CAMINO A LA SALUD,4237 W 63RD ST,60629,107
J.J. PEPPERS FOOD,3555 N CENTRAL AVE,60634,108
Takito Kitchen,2013 W DIVISION ST,60622,109
TURKEY DAM,2523 MCKINNEY AVE,75201,110
MONARCA FRUTERIA,8414 PARK LN,75231,111
CHRIS'S BILLIARDS INC.,4637 N MILWAUKEE AVE,60630,112
EL GRECO'S BURRITOS,24 E ADAMS ST,60603,113
CAFE URBANO,4176 N ELSTON AVE,60618,114
QUICK SHOP,100 WEBB CHAPEL VILLAGE S/C,75229,115
BAR LOUIE,47 W POLK ST,60605,116
MONTESSORI FOUNDATIONS OF CHICAGO,2239 W 35TH ST,60609,117
RON OF JAPAN INC,230 E ONTARIO ST,60611,118
FAMILY DOLLAR #6083,4425 S COTTAGE GROVE AVE,60653,119
RESTAURANT EL RANCHITO,5959 W GRAND AVE,60639,120
ST FERDINAND,3131 N MASON AVE,60634,121
PETE'S  PIZZA & BAKEHOUSE,1100 W GRANVILLE AVE,60660,122
ZIA'S SOCIAL,6158 N NORTHWEST HWY,60631,123
OTT CONVENIENCE,1645 N WELLS ST,60614,124
LA CASITA DE MEXICO,2888 FOREST LN,75234,125
GOLDEN CHICK,8260 N STEMMONS FRWY,75247,126
ORALE FOOD MART,9702 BROCKBANK DR #100,75220,127
THE ALCOVE,2907 STATE ST,75204,128
MCRAE'S AMERICAN BISTRO & COCKTAILS,9913 GARLAND RD,75218,129
WOLFGANG PUCK LEVEL 9 PANTRY OB FILED IN TRAINING ROOM,2400 FLORA ST,75201,130
STATLER BALLROOM KITCHEN,1914 COMMERCE ST,75201,131
PRET A MANGER,73 W MONROE ST,60603,132
TAQUERIA  LA ZACATECANA,3024 N CALIFORNIA AVE,60618,133
"TRASPASADA #3, INC.",3605 N ASHLAND AVE,60613,134
JERK 48 EAST INC.,1635 1/2 E 87TH ST,60617,135
TAQUERIA IZTATL,2322 N CICERO AVE,60639,136
EL BUEN SAN PEDRANO,3852 W 63RD ST,60629,137
SHAQ SHELL STATION,14040 COIT RD,75240,138
PAVILION CAFE,2350 N STEMMONS FRWY 2 FL,75235,139
Cuates Grocery,3247-3249 W MONTROSE AVE,60618,140
M & A BAKERY,1527 W LAWRENCE AVE,60640,141
7-11 #24092,9750 WALNUT HILL LN,75238,142
MCDONALD'S #5813,4047 E 106TH ST,60617,143
HAYMARKET BREWING COMPANY,737-741 W RANDOLPH ST,60661,144
JERAN DAY SCHOOL + LEARNING CENTER,5610-5612 N MILWAUKEE AVE,60646,145
GIORDANO'S RESTAURANT,1340 S MICHIGAN AVE,60605,146
Docks Fish and Chicken,1651 W ROOSEVELT RD,60608,147
THE PASTA BOWL COMPANY,2434-2436 N CLARK ST,60614,148
THE OAKVILLE,163 N GREEN ST,60607,149
RICE THAI ASIAN KITCHEN,1136 W THORNDALE AVE,60660,150
CARNITAS VERGEL TAQUERIA,3414 W 26TH ST,60623,151
ARAMARK EDUCATIONAL SERVICES,13300 S LANGLEY,60827,152
ACCENT FOOD SERVICES- WHITE WAVE FOODS,3333 DAN MORTON DR,75236,153
WILLIAMS FRIED CHICKEN,2909 E ILLINOIS AVE,75216,154
PARAMOUNT EVENTS AND TRUFFLEBERRY MARKET,1746-1758 W LAKE ST,60612,155
BIG GAY SAL'S PIZZA,3445 N HALSTED ST,60657,156
VALLEY JERK SPOT,936 E 79TH ST,60619,157
BRUEGGAR'S BAGELS,8008 HERB KELLEHER WAY L1045,75209,158
BASECAMP,1455 W WILLOW ST,60642,159
SUBWAY,3551 N CENTRAL AVE,60634,160
HALE MCDONALD'S,11601 W TOUHY AVE,60666,161
EVOLVE BY HUDSON,11601 W TOUHY AVE,60666,162
THE HUT,3601 S CALIFORNIA AVE,60632,163
NOORI CHICKEN CHICAGO,3223 N CLARK ST,60657,164
"SHARKS FISH, CHICKEN & PHILLY STEAKS",1554 W MARQUETTE RD,60636,165
SMOQUE BBQ,3800 N PULASKI RD,60641,166
PONCE PLACE,3612 W NORTH AVE,60647,167
SUBWAY,7901 S YATES BLVD,60617,168
FOOD ON THE RUN,8036-8040 S ASHLAND AVE,60620,169
ESSENCE OF CARE,4548 N BROADWAY,60640,170
YI SHOU DIAN,2615 S HALSTED ST,60608,171
3 KING'S JERK & GOURMET EGG ROLLS LLC,5451 W MADISON ST,60644,172
STEMMON'S CAFE & GRILL,2777 N STEMMONS FRWY #157,75207,173
MURPHY'S DELI TRIWEST,3030 LBJ FRWY #110,75234,174
SEAGOVILLE MIDDLE SCHOOL,950 WOODY RD,75253,175
ICE HOUSE BEVERAGES #2,9430 LARGA DR #101,75220,176
DAVE'S HOT CHICKEN,14750 PRESTON RD,75254,177
WINGSTOP,10325 LAKE JUNE RD #570,75217,178
HYDE PARK H.S.,6220 S STONY ISLAND (1600E),60637,179
JIMMY JOHN'S,216 W WASHINGTON ST,60606,180
GRANADO'S SUPERMERCADO,1855 W 47TH ST,60609,181
WEST LOOP LIQUOR,737 W LAKE ST,60661,182
50 YARD LINE,69 E 75TH ST,60619,183
JOSIE ICE CREAM AND FRUIT,500 S FITZHUGH AVE,75223,184
TOPS CAFE MIDWAY,18217 MIDWAY RD STE. 120,75287,185
"TAMALERIA LUPITA 2, CORP.",3809-3811 N HARLEM AVE,60634,186
INDIA HOUSE,59 W GRAND AVE,60610,187
U OF C WOODLAWN,6300 S UNIVERSITY AVE,60637,188
GOURMET GORILLA,1200 W CERMAK RD,60608,189
BONNE SANTE HEALTH FOODS INC.,1512 E 53RD ST,60615,190
THE FISHGUY MARKET,4423 N ELSTON AVE,60630,191
JOSEPHINE'S COOKIN',436 - 440 E 79TH ST,60619,192
GOLDEN APPLE RESTAURANT,2971 N LINCOLN AVE,60657,193
MAILLARD TAVERN,494 N MILWAUKEE AVE,60654,194
Flying Saucer,1123 N CALIFORNIA AVE,60622,195
EL RANCHO #25 - TAQUERIA/PULAPA,4121 GASTON AVE,75246,196
GUZICK ELEMENTARY,5000 BERRIDGE LN,75227,197
TOM THUMB #2642 STARBUCKS,5809 E LOVERS LN,75206,198
RICOS CAKES PANDERIA,9009 BRUTON RD #445,75217,199
PETERSON PK HEALTH CARE CENTER,6141 N PULASKI RD,60646,200
BO-LEO'S TACO SHACK,4300 PARRY AVE,75223,201
PALETERIA COCKTAILS TROPICALES,4282 S ARCHER AVE,60632,202
HAROLD'S CHICKEN #34,503 E 47TH ST,60653,203
SEADOG SUSHI BAR,1500 W DIVISION ST,60642,204
MARISCOS LOS CUATES,1807 S ASHLAND AVE,60608,205
ST. THERESE WEST,2867 S THROOP,60608,206
YUMMY THAI,1418 W TAYLOR ST BLDG,60607,207
AMAZING GRACE DAYCARE CENTER,11123-11125 S HALSTED ST,60628,208
WACKER BARISTA BAR AND MARKET,110 N WACKER DR,60606,209
Hamline Branch,1548 W 48TH ST,60609,210
THE MOODY BIBLE INSTITUTE OF CHICAGO,820 N LA SALLE DR,60610,211
MVP FAMILY LEARNING CENTER CO.,10612-10620 S WENTWORTH AVE BLDG,60628,212
LITTLE BRANCH CAFE,1251 S PRAIRIE AVE,60605,213
SUBWAY SANDWICHES,9100 S COMMERCIAL AVE,60617,214
BABA'S BUFFALO FAMOUS CRISPY CHICKEN & LEMONADE,5360 W DIVISION ST,60651,215
HAPPY GARDEN 1,7710 W BELMONT AVE,60634,216
SHERRY LANE DELI,5949 SHERRY LN #130,75225,217
HUNKY'S,3930 CEDAR SPRINGS RD,75219,218
FRUTERIA CANO,723 S BEACON ST,75223,219
CHEVRON FUEL TOWN,8000 GREAT TRINITY FOREST PKWY,75217,220
KIEST FOOD MART,3308 W KIEST BLVD,75232,221
RESTAURANT LA SABROSITA,2803 CEDAR CREST BLVD,75203,222
COTTON CANDY DONUTS,7134 CAMPBELL RD #B,75248,223
GLORIA'S RESTAURANT,600 N BISHOP AVE,75208,224
TAQUERIA MARAVATIO,2618-2620 W 59TH ST,60629,225
CULTIVAR COFFEE ROASTING CO,1717 MAIN ST #120,75201,226
ROOTS MARKET & JUICERY,4164 N CENTRAL EXPW,75204,227
POPEYE'S CHICKEN & BISCUITS,3352 W LAWRENCE AVE,60625,228
BEAT KITCHEN CANTINA,820 N MICHIGAN AVE,60611,229
DELI KING INC.,2300 S THROOP ST,60608,230
290 FOOD MART,5146 W MADISON ST,60644,231
EN PASSANT,3010 W DIVERSEY AVE,60647,232
BURRITO BEACH,251 E HURON ST,60611,233
THE MAYFIELD  INC,6072 S ARCHER AVE,60638,234
FANFARES CATERING,742 E 95TH ST,60619,235
NEW HAP'S GRILL FISH AND CHICKEN,6859 S LOOMIS BLVD,60636,236
TAQUERIA Y PIZZERIA LOS DOS HERMANOS,3259 W 63RD ST,60629,237
WRIGLYEVILLE ROOFTOPS,3639 N SHEFFIELD AVE,60613,238
SEVEN,400 E RANDOLPH ST,60601,239
FIESTA MART GROCERY,5334 ROSS AVE,75204,240
CIRCLE K #2741192,3511 W DAVIS ST,75211,241
JUICELAND,5600 W LOVERS LN #114,75209,242
I FRATELLI PIZZA,2815 ALLEN ST #124,75204,243
MARBLE SLAB CREAMERY,13350 DALLAS PKWY #3265,75240,244
SAM FOOD & BEER,2802 ROYAL LN STE #102,75234,245
EXECU STORE,2200 ROSS AVE #200,75201,246
80 PROOF,1500 N wells ST,60610,247
OUTDOOR GRILL,3265 N MILWAUKEE AVE,60618,248
TAXIM,1558 N MILWAUKEE AVE,60622,249
KAM FUNG RESTAURANT,216 W 22ND PL,60616,250
FIVE IRON GOLF,1000 W NORTH AVE,60642,251
USA DONUTS,4425 GASTON AVE,75246,252
LARSA'S MEDITERRANEAN RESTAURANT,3146 W TOUHY AVE,60645,253
EDDIE V'S WILD FISH,521 N RUSH ST,60611,254
GINA'S CHICKEN,3415 E 106TH ST,60617,255
FLIK AT IMC,233 S WACKER DR,60606,256
LAS FUENTES,2003-2011 N WESTERN AVE,60647,257
SOL Y VIDA,3115 N LINCOLN AVE,60657,258
BENNYS CLASSIC GRILL,10302 GARLAND RD,75218,259
ONE STOP FOOD,10560 NEW CHURCH RD,75238,260
WHIP IN,2910 RUDER ST,75212,261
DALLAS PETRO CLUB,2200 ROSS AVE 3900,75201,262
HONEYBERRY PANCAKES & CAFE DALLAS,4520 FRANKFORD RD #100,75287,263
SEVEN LOUNGE,3124 N CENTRAL AVE,60634,264
TONY'S STEAK & WING,1400 W 95TH ST,60643,265
GRAND PALACE,225 W 26TH ST,60616,266
WHATABURGER #728,2428 N HASKELL AVE,75204,267
TRADER JOE'S,667 W DIVERSEY PKWY,60614,268
LA MICHOACANA,6058 W 63RD ST,60638,269
T R HOOVER MULTI-PURPOSE,5106 BEXAR ST,75215,270
NEVERIA LA FLOR DE MAYO LLC,4151 S ARCHER AVE,60632,271
LOS AZARES MEXICAN GRILL LLC,5238 N NAGLE AVE,60630,272
YEP KITCHEN,2104-2108 S ARCHER AVE UNIT A,60616,273
LAWN MAGIC LOUNGE,6752 S PULASKI RD,60629,274
TAQUERIA CHARLY,12516 E NORTHWEST HWY #100,75228,275
TIMES TEN CELLARS,6324 PROSPECT AVE,75214,276
MY FAMILY PIZZA,1915 SKILLMAN ST,75206,277
THE LOCAL TACO,300 N AKARD ST #110,75201,278
